benchmark,family,result,time,memory,conflict,decision,stage
mbo_E10E11,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E12,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E13,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E14,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E15,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E16,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E17,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E18,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E19,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E20,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E21,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E22,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E23,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E24,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E25,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E26,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E27,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10E28,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E10,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E12,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E13,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E14,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E15,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E16,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E17,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E18,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E19,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E20,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E21,20161105-Sturm-MBO,unsat,0.01,17.93,10.0,0,10.0
mbo_E11E22,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E23,20161105-Sturm-MBO,unsat,0.0,17.95,6.0,0,6.0
mbo_E11E24,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E25,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E26,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E11E27,20161105-Sturm-MBO,unsat,0.0,17.95,3.0,0,3.0
mbo_E11E28,20161105-Sturm-MBO,unsat,0.02,18.04,23.0,3.0,20.0
mbo_E11,20161105-Sturm-MBO,unsat,0,17.85,0,0,0
mbo_E12E13,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E14,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E15,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E16,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E17,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E18,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E19,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E20,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E21,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E22,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E23,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E24,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E25,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E26,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E27,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12E28,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E12,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E14,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E15,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E16,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E17,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E18,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E19,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E20,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E21,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E22,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E23,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E24,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E25,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E26,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E27,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13E28,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E13,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E15,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E16,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E17,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E18,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E19,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E20,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E21,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E22,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E23,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E24,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E25,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E26,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E27,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14E28,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E14,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E16,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E17,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E18,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E19,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E20,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E21,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E22,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E23,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E24,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E25,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E26,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E27,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15E28,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E15,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E16E17,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E16E18,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E16E19,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E16E20,20161105-Sturm-MBO,timeout,0,0,0,0,0
mbo_E16E21,20161105-Sturm-MBO,timeout,0,0,0,0,0
