benchmark,family,result,time
mbo_E10E11,20161105-Sturm-MBO,unsat,0.179
mbo_E10E12,20161105-Sturm-MBO,unsat,0.655
mbo_E10E13,20161105-Sturm-MBO,unsat,0.857
mbo_E10E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.003
mbo_E10E15,20161105-Sturm-MBO,unsat,0.644
mbo_E10E16,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.03
mbo_E10E17,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.039
mbo_E10E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.005
mbo_E10E19,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.008
mbo_E10E20,20161105-Sturm-MBO,unsat,0.504
mbo_E10E21,20161105-Sturm-MBO,unsat,0.391
mbo_E10E22,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.01
mbo_E10E23,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.005
mbo_E10E24,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E10E25,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E10E26,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.006
mbo_E10E27,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E10E28,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.007
mbo_E10,20161105-Sturm-MBO,unsat,0.064
mbo_E11E12,20161105-Sturm-MBO,unsat,0.426
mbo_E11E13,20161105-Sturm-MBO,unsat,0.536
mbo_E11E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.036
mbo_E11E15,20161105-Sturm-MBO,unsat,0.45
mbo_E11E16,20161105-Sturm-MBO,unsat,0.045
mbo_E11E17,20161105-Sturm-MBO,unsat,0.117
mbo_E11E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E11E19,20161105-Sturm-MBO,unsat,4.877
mbo_E11E20,20161105-Sturm-MBO,unsat,0.177
mbo_E11E21,20161105-Sturm-MBO,unsat,0.037
mbo_E11E22,20161105-Sturm-MBO,unsat,0.223
mbo_E11E23,20161105-Sturm-MBO,unsat,0.039
mbo_E11E24,20161105-Sturm-MBO,unsat,2.494
mbo_E11E25,20161105-Sturm-MBO,unsat,0.232
mbo_E11E26,20161105-Sturm-MBO,unsat,0.043
mbo_E11E27,20161105-Sturm-MBO,unsat,0.034
