benchmark,family,result,time,memory
mbo_E10E11,20161105-Sturm-MBO,unsat,0.017,20.594
mbo_E10E12,20161105-Sturm-MBO,unsat,0.027,21.141
mbo_E10E13,20161105-Sturm-MBO,unsat,0.03,21.387
mbo_E10E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E15,20161105-Sturm-MBO,unsat,0.032,21.141
mbo_E10E16,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E18,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E19,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E20,20161105-Sturm-MBO,unsat,0.024,21.02
mbo_E10E21,20161105-Sturm-MBO,unsat,0.021,20.836
mbo_E10E22,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E23,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E24,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E25,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E26,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E27,20161105-Sturm-MBO,memoryout,0,0
mbo_E10E28,20161105-Sturm-MBO,memoryout,0,0
mbo_E10,20161105-Sturm-MBO,unsat,0.012,20.5
mbo_E11E12,20161105-Sturm-MBO,unsat,0.018,20.781
mbo_E11E13,20161105-Sturm-MBO,unsat,0.019,20.883
mbo_E11E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E11E15,20161105-Sturm-MBO,unsat,0.019,20.781
mbo_E11E16,20161105-Sturm-MBO,unsat,0.013,20.437
mbo_E11E17,20161105-Sturm-MBO,unsat,0.016,20.457
mbo_E11E18,20161105-Sturm-MBO,memoryout,0,0
mbo_E11E19,20161105-Sturm-MBO,unsat,0.049,22.645
mbo_E11E20,20161105-Sturm-MBO,unsat,0.023,20.621
mbo_E11E21,20161105-Sturm-MBO,unsat,0.013,20.422
mbo_E11E22,20161105-Sturm-MBO,unsat,0.018,20.707
mbo_E11E23,20161105-Sturm-MBO,unsat,0.017,20.422
mbo_E11E24,20161105-Sturm-MBO,unsat,0.04,22.051
mbo_E11E25,20161105-Sturm-MBO,unsat,0.025,20.73
mbo_E11E26,20161105-Sturm-MBO,unsat,0.01,20.422
mbo_E11E27,20161105-Sturm-MBO,unsat,0.012,20.406
mbo_E11E28,20161105-Sturm-MBO,unsat,0.014,20.523
mbo_E11,20161105-Sturm-MBO,unsat,0.001,5.855
mbo_E12E13,20161105-Sturm-MBO,unsat,0.11,25.027
mbo_E12E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E12E15,20161105-Sturm-MBO,unsat,0.028,21.172
mbo_E12E16,20161105-Sturm-MBO,memoryout,0,0
mbo_E12E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E12E18,20161105-Sturm-MBO,unsat,0.108,24.953
mbo_E12E19,20161105-Sturm-MBO,unsat,0.108,24.816
mbo_E12E20,20161105-Sturm-MBO,memoryout,0,0
mbo_E12E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E12E22,20161105-Sturm-MBO,unsat,0.023,21.258
mbo_E12E23,20161105-Sturm-MBO,unsat,0.019,20.965
mbo_E12E24,20161105-Sturm-MBO,unsat,0.092,24.332
mbo_E12E25,20161105-Sturm-MBO,unsat,0.09,24.273
mbo_E12E26,20161105-Sturm-MBO,unsat,0.088,24.23
mbo_E12E27,20161105-Sturm-MBO,unsat,0.04,21.434
mbo_E12E28,20161105-Sturm-MBO,unsat,0.083,24.328
mbo_E12,20161105-Sturm-MBO,unsat,0.013,20.531
mbo_E13E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E13E15,20161105-Sturm-MBO,unsat,0.033,21.301
mbo_E13E16,20161105-Sturm-MBO,unsat,0.03,21.395
mbo_E13E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E13E18,20161105-Sturm-MBO,unsat,0.115,25.059
mbo_E13E19,20161105-Sturm-MBO,unsat,0.102,24.926
mbo_E13E20,20161105-Sturm-MBO,unsat,0.024,21.141
mbo_E13E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E13E22,20161105-Sturm-MBO,unsat,0.085,24.266
mbo_E13E23,20161105-Sturm-MBO,unsat,0.076,24.195
mbo_E13E24,20161105-Sturm-MBO,unsat,0.093,24.523
mbo_E13E25,20161105-Sturm-MBO,unsat,0.023,21.176
mbo_E13E26,20161105-Sturm-MBO,unsat,0.024,21.02
mbo_E13E27,20161105-Sturm-MBO,unsat,0.039,21.668
mbo_E13E28,20161105-Sturm-MBO,unsat,0.087,24.441
mbo_E13,20161105-Sturm-MBO,unsat,0.019,20.437
mbo_E14E15,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E16,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E18,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E19,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E20,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E22,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E23,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E24,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E25,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E26,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E27,20161105-Sturm-MBO,memoryout,0,0
mbo_E14E28,20161105-Sturm-MBO,memoryout,0,0
mbo_E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E15E16,20161105-Sturm-MBO,unsat,0.032,21.379
mbo_E15E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E15E18,20161105-Sturm-MBO,unsat,0.096,24.602
mbo_E15E19,20161105-Sturm-MBO,unsat,0.101,24.816
mbo_E15E20,20161105-Sturm-MBO,unsat,0.031,21.246
mbo_E15E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E15E22,20161105-Sturm-MBO,memoryout,0,0
mbo_E15E23,20161105-Sturm-MBO,memoryout,0,0
mbo_E15E24,20161105-Sturm-MBO,unsat,0.093,24.332
mbo_E15E25,20161105-Sturm-MBO,unsat,0.027,21.281
mbo_E15E26,20161105-Sturm-MBO,unsat,0.025,20.984
mbo_E15E27,20161105-Sturm-MBO,unsat,0.033,21.434
mbo_E15E28,20161105-Sturm-MBO,unsat,0.085,24.328
mbo_E15,20161105-Sturm-MBO,unsat,0.015,20.527
mbo_E16E17,20161105-Sturm-MBO,unsat,0.014,20.523
mbo_E16E18,20161105-Sturm-MBO,memoryout,0,0
mbo_E16E19,20161105-Sturm-MBO,memoryout,0,0
mbo_E16E20,20161105-Sturm-MBO,memoryout,0,0
mbo_E16E21,20161105-Sturm-MBO,unsat,0.017,20.492
mbo_E16E22,20161105-Sturm-MBO,memoryout,0,0
mbo_E16E23,20161105-Sturm-MBO,unsat,0.023,20.492
mbo_E16E24,20161105-Sturm-MBO,memoryout,0,0
mbo_E16E25,20161105-Sturm-MBO,unsat,0.032,21.137
mbo_E16E26,20161105-Sturm-MBO,unsat,0.013,20.437
mbo_E16E27,20161105-Sturm-MBO,unsat,0.018,20.5
mbo_E16E28,20161105-Sturm-MBO,unsat,0.022,20.531
mbo_E16,20161105-Sturm-MBO,unsat,0.012,20.414
mbo_E17E18,20161105-Sturm-MBO,unsat,0.024,21.32
mbo_E17E19,20161105-Sturm-MBO,memoryout,0,0
