benchmark,family,result,time,memory,conflict,decision,stage
mbo_E10E11,20161105-Sturm-MBO,unsat,29.77,690.22,32.0,0,542.0
mbo_E10E12,20161105-Sturm-MBO,unknown,100.14,5215.51,2.0,0,14.0
mbo_E10E13,20161105-Sturm-MBO,unknown,183.83,9762.16,2.0,0,14.0
mbo_E10E14,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E15,20161105-Sturm-MBO,unknown,104.23,5223.6,2.0,0,14.0
mbo_E10E16,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E17,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E18,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E19,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E20,20161105-Sturm-MBO,unknown,67.46,4898.21,2.0,0,14.0
mbo_E10E21,20161105-Sturm-MBO,unsat,52.05,2559.95,17.0,0,963.0
mbo_E10E22,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E23,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E24,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E25,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E26,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10E27,20161105-Sturm-MBO,unknown,156.91,5079.38,2.0,0,14.0
mbo_E10E28,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E10,20161105-Sturm-MBO,unsat,17.95,104.07,117.0,0,167.0
mbo_E11E12,20161105-Sturm-MBO,unsat,65.08,2438.94,22.0,0,774.0
mbo_E11E13,20161105-Sturm-MBO,unsat,58.24,2576.86,18.0,0,938.0
mbo_E11E14,20161105-Sturm-MBO,timeout,1199.98,3076.36,0,0,0
mbo_E11E15,20161105-Sturm-MBO,unsat,46.99,1396.24,22.0,0,774.0
mbo_E11E16,20161105-Sturm-MBO,unsat,21.05,35.15,72.0,0,87.0
mbo_E11E17,20161105-Sturm-MBO,unsat,24.76,210.45,61.0,0,289.0
mbo_E11E18,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E11E19,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E11E20,20161105-Sturm-MBO,unsat,67.7,717.62,35.0,0,500.0
mbo_E11E21,20161105-Sturm-MBO,unsat,0.03,18.35,60.0,4.0,56.0
mbo_E11E22,20161105-Sturm-MBO,unsat,36.62,1280.45,29.0,0,594.0
mbo_E11E23,20161105-Sturm-MBO,unsat,0.01,18.36,6.0,0,6.0
mbo_E11E24,20161105-Sturm-MBO,timeout,1199.97,15659.89,0,0,0
mbo_E11E25,20161105-Sturm-MBO,unsat,41.02,1314.12,27.0,0,640.0
mbo_E11E26,20161105-Sturm-MBO,unsat,16.34,24.06,112.0,15.0,118.0
mbo_E11E27,20161105-Sturm-MBO,unsat,0.0,18.27,3.0,0,3.0
mbo_E11E28,20161105-Sturm-MBO,unsat,19.44,117.11,195.0,15.0,255.0
mbo_E11,20161105-Sturm-MBO,unsat,0.0,18.26,0,0,0
mbo_E12E13,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E14,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E15,20161105-Sturm-MBO,unknown,114.85,9484.3,2.0,0,14.0
mbo_E12E16,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E17,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E18,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E19,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E20,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E21,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E22,20161105-Sturm-MBO,unknown,105.57,5182.18,2.0,0,14.0
mbo_E12E23,20161105-Sturm-MBO,unknown,70.01,4802.37,2.0,0,14.0
mbo_E12E24,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E25,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E26,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12E27,20161105-Sturm-MBO,unknown,299.27,9932.7,2.0,0,14.0
mbo_E12E28,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E12,20161105-Sturm-MBO,unsat,19.55,184.84,78.0,0,236.0
mbo_E13E14,20161105-Sturm-MBO,unknown,140.0,9950.7,2.0,0,14.0
mbo_E13E15,20161105-Sturm-MBO,unknown,141.78,9847.98,2.0,0,14.0
mbo_E13E16,20161105-Sturm-MBO,unknown,131.83,9774.65,2.0,0,14.0
mbo_E13E17,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E13E18,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E13E19,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E13E20,20161105-Sturm-MBO,unknown,100.53,5201.77,2.0,0,14.0
mbo_E13E21,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E13E22,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E13E23,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E13E24,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E13E25,20161105-Sturm-MBO,unknown,98.33,9491.67,2.0,0,14.0
mbo_E13E26,20161105-Sturm-MBO,unknown,81.14,4914.48,2.0,0,14.0
mbo_E13E27,20161105-Sturm-MBO,unknown,291.85,10446.36,2.0,0,14.0
mbo_E13E28,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E13,20161105-Sturm-MBO,unsat,21.1,197.27,64.0,0,279.0
mbo_E14E15,20161105-Sturm-MBO,unknown,122.89,9874.87,2.0,0,14.0
mbo_E14E16,20161105-Sturm-MBO,unknown,124.12,9656.08,2.0,0,14.0
mbo_E14E17,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14E18,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14E19,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14E20,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14E21,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14E22,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14E23,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14E24,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14E25,20161105-Sturm-MBO,unknown,114.38,9479.35,2.0,0,14.0
mbo_E14E26,20161105-Sturm-MBO,unknown,61.63,4887.91,2.0,0,14.0
mbo_E14E27,20161105-Sturm-MBO,unknown,256.68,10311.45,2.0,0,14.0
mbo_E14E28,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E14,20161105-Sturm-MBO,timeout,1199.99,480.73,0,0,0
mbo_E15E16,20161105-Sturm-MBO,unknown,130.92,9707.12,2.0,0,14.0
mbo_E15E17,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E15E18,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E15E19,20161105-Sturm-MBO,memoryout,0,0,0,0,0
mbo_E15E20,20161105-Sturm-MBO,unknown,73.05,5135.71,2.0,0,14.0
